company_name,province,location,size,nature,business,page_num
镇江一马先制衣有限公司,江苏,江苏镇江,100 - 499人,私营．民营企业,"男装,女装,童装,牛仔,毛衫针织",11
江阴市宏泰纺织有限公司,江苏,江苏无锡,500 - 999人,外商独资．外企办事处,男装,11
广州岚娜森服饰有限公司,广东,广东广州,50 - 99人,中外合营(合资．合作),女装,11
深圳雅芝贡裳时装有限公司,广东,广东深圳,1 - 49人,私营．民营企业,女装,11
浙江远程车饰有限公司,浙江,浙江台州,100 - 499人,私营．民营企业,"家纺, 其他",11
广西链接服饰有限公司,广西,广西自治区柳州,100 - 499人,私营．民营企业,女装,11
深圳市向日葵服饰有限公司,广东,广东深圳,50 - 99人,外商独资．外企办事处,内衣,11
嘉兴天锋纺织科技有限公司,浙江,浙江嘉兴,50 - 99人,私营．民营企业,女装,11
上海辰美服饰有限公司,上海,上海,1 - 49人,外商独资．外企办事处,"女装, 皮革, 牛仔, 毛衫针织",11
南京自然婴芬孕童用品有限公司,江苏,江苏南京,100 - 499人,外商独资．外企办事处,童装,12
智联-无权限,北京,北京,,,,12
北京异族服饰有限公司,北京,北京丰台,50 - 99人,私营．民营企业,男装,12
东莞德永佳纺织制衣有限公司,广东,广东东莞,1000人以上,港台澳企业,"男装, 女装, 毛衫针织, 其他",12
泉州市信溢进出口贸易有限公司,福建,福建泉州,100 - 499人,私营．民营企业,"男装,女装,内衣,童装,毛衫针织",12
浙江维加斯服饰有限公司,浙江,浙江温州,1 - 49人,私营．民营企业,男装,12
米斯嘛嘛,广东,广东广州,50 - 99人,私营．民营企业,童装,12
天津艺匠服饰有限公司,天津,天津,1 - 49人,外商独资．外企办事处,职业装,12
杭州凡洛特体育器材科技有限公司,浙江,浙江杭州,50 - 99人,私营．民营企业,运动休闲,12
东莞市格策服饰有限公司,广东,广东广州,100 - 499人,私营．民营企业,"男装,毛衫针织",12
杭州一宁贸易有限公司,浙江,浙江杭州,1 - 49人,外商独资．外企办事处,"男装, 女装, 运动休闲, 职业装, 羽绒服",13
佛山梦得斯服饰有限公司,广东,广东佛山,100 - 499人,其它,童装,13
深圳颢曦服装有限公司,广东,广东深圳,50 - 99人,私营．民营企业,女装,13
杭州流浪共禾文化艺术策划有限公司,浙江,浙江杭州,50 - 99人,私营．民营企业,女装,13
威富采购咨询有限公司中山分公司,广东,广东中山,50 - 99人,私营．民营企业,"鞋业, 其他",13
杭州小荷贸易有限公司,浙江,浙江杭州,100 - 499人,私营．民营企业,童装,13
湖州福泽服饰有限公司,浙江,浙江湖州,1 - 49人,私营．民营企业,童装,13
逖氏斯服装贸易（上海）有限公司,上海,上海,1 - 49人,外商独资．外企办事处,"男装,女装,童装,运动休闲",13
康帝雅高档面料（苏州）有限公司,江苏,江苏苏州,50 - 99人,外商独资．外企办事处,面辅料,13
杭州景唐服饰有限公司,浙江,浙江杭州,1 - 49人,私营．民营企业,"男装,女装,正装",13
苏州敏之服装设计有限公司,江苏,江苏苏州,1 - 49人,外商独资．外企办事处,"童装,女装,丝绸,内衣,其他",14
The Studio（中国）,广东,广东深圳,50 - 99人,外商独资．外企办事处,"男装, 女装",14
青岛聚大洋新材料科技有限公司,山东,山东青岛,100 - 499人,私营．民营企业,"内衣,童装,女装",14
广州澳卡兰多儿童用品有限公司,广东,广东广州,100 - 499人,私营．民营企业,童装,14
江苏荣秋服饰有限公司,江苏,江苏常熟,100 - 499人,私营．民营企业,男装,14
义乌市雅韵针织有限公司,浙江,浙江金华,50 - 99人,私营．民营企业,"女装,袜业,毛衫针织",14
中泰制衣（深圳）有限公司,广东,广东深圳,1000人以上,港台澳企业,"内衣,泳装,其他",14
深圳明潼制衣有限公司,广东,广东深圳,1 - 49人,外商独资．外企办事处,"女装, 毛衫针织",14
南京迈威德服装有限公司,江苏,江苏南京,,私营．民营企业,"男装, 女装, 童装, 其他",14
北京鸣瑞服装服饰有限公司,北京,北京,1 - 49人,外商独资．外企办事处,女装,14
浙江衣莎美诺时装有限公司,浙江,浙江杭州,1000人以上,中外合营(合资．合作),女装,15
宁波唐狮网络科技有限公司,浙江,浙江宁波,100 - 499人,私营．民营企业,"男装, 女装, 童装, 其他",15
杭州集果服饰有限公司,浙江,浙江杭州,1 - 49人,私营．民营企业,"童装,饰品,其他,箱包",15
福建华耀运动用品科技有限公司,福建,福建莆田,100 - 499人,私营．民营企业,"运动休闲, 羽绒服",15
广东路卡服装集团有限公司,广东,广东广州,1000人以上,私营．民营企业,"男装,鞋业,正装,毛衫针织,其他",15
张家港众智纺织品有限公司,江苏,江苏苏州,1000人以上,私营．民营企业,"男装,女装,童装,毛衫针织,运动休闲",15
南京云出品服装设计工作室,江苏,江苏南京,1 - 49人,私营．民营企业,女装,15
山东如意毛纺服装集团股份有限公司,山东,山东济宁,1000人以上,国内上市公司,"女装,男装,职业装",15
高普（香港）有限公司东莞代表处,广东,广东东莞,1 - 49人,外商独资．外企办事处,其他,15
无锡北纺时装有限公司,江苏,江苏无锡,100 - 499人,港台澳企业,"运动休闲,毛衫针织,羽绒服",15
广州百奇拉服饰有限公司,广东,广东广州,100 - 499人,外商独资．外企办事处,女装,16
上海盟峰国际贸易有限公司,上海,上海,1 - 49人,私营．民营企业,鞋业,16
温州无界服饰有限公司,浙江,浙江温州,100 - 499人,私营．民营企业,男装,16
苏州百思丽贸易有限公司,江苏,江苏苏州,1000人以上,私营．民营企业,"皮革,鞋业",16
广州莎丽优丽礼服有限公司,广东,广东广州,1 - 49人,私营．民营企业,婚纱礼服,16
浙江桐乡濮院超赢羊毛衫厂,浙江,浙江桐乡,50 - 99人,私营．民营企业,"女装, 毛衫针织",16
东方国际集团上海荣恒国际贸易有限公司,上海,上海,500 - 999人,国有企业,"内衣,其他",16
绍兴鸿盈纺织品进出口有限公司,浙江,浙江绍兴,1 - 49人,外商独资．外企办事处,"男装,女装,童装,牛仔",16
无锡瑞德纺织服装设计有限公司,江苏,江苏无锡,50 - 99人,外商独资．外企办事处,"男装,女装,羽绒服,运动休闲,牛仔",16
上海弄影时装有限公司,上海,上海,100 - 499人,私营．民营企业,女装,16
杭州楚禾文化传媒有限公司,浙江,浙江嘉兴,1 - 49人,私营．民营企业,童装,17
上海庭汇服饰有限公司,上海,上海,50 - 99人,私营．民营企业,女装,17
上海颢森服饰有限公司,上海,上海,1 - 49人,外商独资．外企办事处,"女装,童装,毛衫针织,运动休闲",17
北京卡莱曼菲服装服饰有限公司,北京,北京,100 - 499人,外商独资．外企办事处,女装,17
深圳市伟奇服装有限公司,广东,广东深圳,100 - 499人,外商独资．外企办事处,"童装,运动休闲,毛衫针织,正装,女装",17
佛山市佳钰服饰有限公司,广东,广东广州,500 - 999人,私营．民营企业,"女装, 内衣, 童装, 其他",17
杭州源塑文化创意有限公司,浙江,浙江杭州,1 - 49人,私营．民营企业,"男装,女装,童装,羽绒服",17
山东如意宁夏工业园,宁夏,宁夏自治区银川,1000人以上,国内上市公司,"女装,正装,毛衫针织,袜业,男装",17
广州曼天雨商贸有限公司,广东,广东广州,1000人以上,私营．民营企业,男装,17
北京世恒立服装服饰有限公司,北京,北京,100 - 499人,私营．民营企业,"男装, 女装",17
上海萌童服装有限公司,上海,上海,1 - 49人,外商独资．外企办事处,童装,18
安阳市紫薇花针织有限责任公司,河南,河南安阳,100 - 499人,私营．民营企业,童装,18
佛山市顺德区新飞腾纺织服装有限公司,广东,广东佛山,500 - 999人,其它,"男装,女装,童装,运动休闲",18
杭州颀淳服饰有限公司,浙江,浙江杭州,50 - 99人,私营．民营企业,"女装,毛衫针织,羽绒服",18
郑州云尚服饰有限公司,河南,河南郑州,50 - 99人,私营．民营企业,女装,18
青岛天一全工贸有限公司,山东,山东青岛,1 - 49人,私营．民营企业,"童装,男装",18
南昌市婧麒服饰有限公司,江西,江西南昌,500 - 999人,私营．民营企业,"女装,内衣,童装",18
东莞市歌美图实业投资有限公司,广东,广东东莞,100 - 499人,私营．民营企业,女装,18
佛山市佛伦佛服饰有限公司,广东,广东佛山,100 - 499人,私营．民营企业,"男装,女装",18
东莞市杰然不同服饰有限公司,广东,广东东莞,50 - 99人,,女装,18
北京载歌服饰有限公司连云港分公司,江苏,江苏连云港,1000人以上,私营．民营企业,"男装, 女装, 鞋业, 牛仔, 箱包",19
温州帝派男装服饰有限公司,浙江,浙江温州,50 - 99人,,,19
浙江尚晨儿童用品有限公司,浙江,浙江温州,100 - 499人,私营．民营企业,童装,19
广东度涵实业有限公司,广东,广东广州,100 - 499人,私营．民营企业,男装,19
厦门盘古人品牌管理有限公司,福建,福建厦门,1 - 49人,私营．民营企业,"运动休闲,男装,女装,其他",19
薇时尚,浙江,浙江杭州,1 - 49人,外商独资．外企办事处,女装,19
万物生长企业管理（廊坊）有限公司（DEARWHITE亲爱的白）,河北,河北廊坊,50 - 99人,私营．民营企业,"女装,婚纱礼服",19
浙江喜歌实业有限公司,浙江,浙江桐乡,1000人以上,私营．民营企业,男装,19
迈卡尼服饰有限公司,广东,广东广州,1 - 49人,私营．民营企业,"男装,毛衫针织,羽绒服",19
宁波溢达服装有限公司,浙江,浙江宁波,1000人以上,外商独资．外企办事处,"正装,男装,职业装",19
泉州龙豪服饰织造有限公司,福建,福建泉州,100 - 499人,外商独资．外企办事处,"男装,女装,运动休闲",20
中山市顺日制衣有限公司,广东,广东中山,100 - 499人,私营．民营企业,"男装, 女装",20
常熟市颉良纺织有限公司,江苏,江苏常熟,100 - 499人,私营．民营企业,"男装,女装,内衣,运动休闲,面辅料",20
广东新百伦国际贸易有限公司,广东,广东广州,50 - 99人,私营．民营企业,"运动休闲,鞋业",20
香港喜莱有限公司广州代表处,广东,广东广州,50 - 99人,外商独资．外企办事处,"男装,童装,箱包,女装",20
浙江女仙花朵健康管理有限公司,浙江,浙江杭州,1 - 49人,私营．民营企业,"内衣,女装,其他",20
阿波兹（北京）商贸有限公司,北京,北京,1 - 49人,私营．民营企业,"女装,男装,牛仔",20
江西南美伊服饰有限公司,江西,江西宜春,100 - 499人,外商独资．外企办事处,"正装,职业装,其他",20
山西吾行易家华夏文化传播有限公司,山西,山西太原,1 - 49人,私营．民营企业,"女装,正装,面辅料,丝绸,家纺",20
杭州卡卡服饰有限公司,浙江,浙江杭州,50 - 99人,私营．民营企业,女装,20
佛山市航宇针织有限公司,广东,广东佛山,100 - 499人,私营．民营企业,"毛衫针织,女装,鞋业,童装,运动休闲",21
苏州纤妃依服饰有限公司,江苏,江苏苏州,1 - 49人,私营．民营企业,"男装,女装",21
广东聚爱婴童用品有限公司,广东,广东汕头,100 - 499人,私营．民营企业,童装,21
浙江林限定文化创意有限公司,浙江,浙江杭州,50 - 99人,,"女装, 童装",21
苏州润濠进出口有限公司,江苏,江苏苏州,50 - 99人,私营．民营企业,"男装,运动休闲,职业装",21
华斯控股股份有限公司,河北,河北沧州,1000人以上,国内上市公司,"女装, 皮革",21
上海蝶飞贸易有限公司,上海,上海,50 - 99人,私营．民营企业,"男装,女装,婚纱礼服,职业装,丝绸",21
杭州华丞服饰有限公司,浙江,浙江杭州,100 - 499人,私营．民营企业,童装,21
深圳市雷诺表业有限公司,广东,广东深圳,1000人以上,私营．民营企业,饰品,21
浙江卡德蒙服饰有限公司,浙江,浙江嘉兴,50 - 99人,私营．民营企业,男装,21
杭州法蔻进出口贸易有限公司,浙江,浙江杭州,50 - 99人,私营．民营企业,"男装,女装,箱包,皮革",22
上海贵牛贸易有限公司,广东,广东广州,100 - 499人,私营．民营企业,"男装,女装,正装,职业装,羽绒服",22
杭州波司登贸易有限公司,浙江,浙江杭州,1000人以上,私营．民营企业,"男装,女装,羽绒服",22
杭州宇祺特进出口贸易有限公司,浙江,浙江杭州,1 - 49人,私营．民营企业,男装,22
东莞黎景宇制衣有限公司,广东,广东东莞,500 - 999人,外商独资．外企办事处,内衣,22
广州东杉服饰有限公司,广东,广东广州,100 - 499人,私营．民营企业,童装,22
荆州英格服饰有限公司,湖北,湖北荆州,1 - 49人,外商独资．外企办事处,"内衣, 童装, 毛衫针织, 羽绒服",22
塔哒儿（福建）儿童用品有限公司,福建,福建泉州,500 - 999人,私营．民营企业,童装,22
深圳市子牧服饰有限公司,广东,广东深圳,100 - 499人,外商独资．外企办事处,女装,22
天津欧迪芬服装销售有限公司,上海,上海,1000人以上,外商独资．外企办事处,"女装,内衣",22
江苏无疆网络科技有限公司,江苏,江苏,100 - 499人,国内上市公司,男装,23
保定澳森制衣股份有限公司,河北,河北保定,500 - 999人,私营．民营企业,"男装,女装,童装,运动休闲",23
宁波市鄞州区乔纳兹服饰有限公司,浙江,浙江宁波,50 - 99人,外商独资．外企办事处,男装,23
上海衣得体信息科技有限公司,上海,上海,500 - 999人,中外合营(合资．合作),"男装, 女装, 鞋业",23
温州霸恒服饰有限公司,浙江,浙江温州,50 - 99人,私营．民营企业,"男装, 女装, 童装",23
广州圣利服装有限公司,广东,广东广州,1 - 49人,私营．民营企业,"女装,毛衫针织",23
斯凯奇中国,广东,广东广州,1000人以上,外商独资．外企办事处,"鞋业, 运动休闲",23
四川伦索服饰有限公司,四川,四川成都,1 - 49人,私营．民营企业,"女装, 鞋业",23
